name	role	week	elims	deaths	damage	healing	ults	final_blows
Ado	offense	Week 4	237	121	102972	209044	104	60
Adora	offense	Week 4	66	20	19980	41413	22	13
Agilities	offense	Week 4	685	224	245156	415258	226	154
Aid	support	Week 4	327	99	141912	215457	95	64
AimGod	support	Week 4	522	165	273247	360294	171	132
aKm	offense	Week 4	554	113	262182	480	124	175
alemao	support	Week 4	36	13	13227	13770	9	5
ameng	tank	Week 4	546	227	257252	0	167	162
Anamo	support	Week 4	574	55	155455	188163	105	63
Apply	offense	Week 4	164	71	58360	92966	57	36
Architect	offense	Week 4	284	83	97837	158094	90	70
ArK	support	Week 4	29	8	8688	14900	7	3
Axxiom	tank	Week 4	245	114	130311	0	68	61
Baconjack	offense	Week 4	255	93	124062	432	75	101
Bani	support	Week 4	38	14	16654	19865	11	8
Bazzi	offense	Week 4	521	194	171773	256668	151	120
Bdosin	support	Week 4	474	129	243702	253691	138	130
BEBE	support	Week 4	459	137	244641	314461	154	90
BenBest	tank	Week 4	355	186	193455	0	121	101
BigG00se	support	Week 4	538	195	189465	200938	134	101
BIRDRING	offense	Week 4	145	42	82036	110	37	58
blase	offense	Week 4	557	213	173308	309019	171	118
Boink	support	Week 4	450	164	145234	203797	114	97
Boombox	support	Week 4	406	114	185154	209831	120	106
bqb	offense	Week 4	611	156	310079	1801	153	163
BUMPER	tank	Week 4	573	207	292536	0	171	185
carpe	offense	Week 4	691	155	339048	244	151	250
Chara	support	Week 4	462	129	181296	178029	108	84
Choihyobin	tank	Week 4	586	104	213745	290	101	181
Closer	support	Week 4	457	106	132155	164346	95	69
ColourHex	offense	Week 4	409	104	223333	312	100	99
CoMa	support	Week 4	505	140	141077	197654	109	84
coolmatt	tank	Week 4	296	71	132368	21	68	78
Corey	offense	Week 4	307	142	248134	0	112	103
Custa	support	Week 4	128	40	43652	51842	31	17
Daco	tank	Week 4	467	73	161424	8	51	124
dafran	offense	Week 4	544	136	272637	764	126	201
Danteh	offense	Week 4	581	128	290782	12901	160	161
DDing	offense	Week 4	613	101	237163	31024	146	179
Decay	offense	Week 4	430	88	245572	14	102	150
diem	offense	Week 4	752	176	370315	761	175	286
Dogman	support	Week 4	323	107	130613	148731	83	98
EFFECT	offense	Week 4	120	56	83529	78	42	42
Eileen	offense	Week 4	268	55	98077	54511	73	75
Elk	support	Week 4	136	57	66759	82791	44	42
Elsa	tank	Week 4	602	133	258886	1704	116	189
Envy	tank	Week 4	803	179	319169	5568	151	256
eqo	offense	Week 4	630	169	187632	296124	152	132
Erster	offense	Week 4	531	101	156959	152643	114	137
Fahzix	support	Week 4	190	90	100421	157336	74	25
Fate	tank	Week 4	616	263	338353	0	191	173
Finnsi	tank	Week 4	488	122	184425	0	107	146
Fissure	tank	Week 4	418	149	211522	0	116	131
FITS	offense	Week 4	120	16	69292	42	27	37
Fleta	offense	Week 4	592	135	301541	66474	135	198
Fury	tank	Week 4	609	98	224206	467	105	194
Fusions	tank	Week 4	474	206	254957	0	139	167
Gamsu	tank	Week 4	543	216	227748	0	134	187
Gator	tank	Week 4	16	7	7979	0	5	7
