name	role	week	elims	deaths	damage	healing	ults	final_blows
Ado	offense	Week 3	165	91	79702	159335	80	40
Adora	offense	Week 3	66	20	19980	41413	22	13
Agilities	offense	Week 3	455	155	179851	293720	160	93
Aid	support	Week 3	327	99	141912	215457	95	64
AimGod	support	Week 3	419	145	226025	305691	145	107
aKm	offense	Week 3	418	86	200784	480	95	136
alemao	support	Week 3	36	13	13227	13770	9	5
ameng	tank	Week 3	367	160	167119	0	107	105
Anamo	support	Week 3	467	42	120649	143460	82	50
Apply	offense	Week 3	81	41	31818	47183	31	19
Architect	offense	Week 3	284	83	97837	158094	90	70
ArK	support	Week 3	29	8	8688	14900	7	3
Axxiom	tank	Week 3	245	114	130311	0	68	61
Baconjack	offense	Week 3	113	55	56735	345	36	48
Bani	support	Week 3	38	14	16654	19865	11	8
Bazzi	offense	Week 3	443	155	147733	208701	127	108
Bdosin	support	Week 3	410	99	209994	211887	116	111
BEBE	support	Week 3	380	107	198117	257288	128	73
BenBest	tank	Week 3	236	107	115696	0	72	66
BigG00se	support	Week 3	402	149	142852	145025	100	76
BIRDRING	offense	Week 3	145	42	82036	110	37	58
blase	offense	Week 3	445	188	146365	263643	146	94
Boink	support	Week 3	354	142	114094	173690	97	67
Boombox	support	Week 3	325	86	134406	145935	90	81
bqb	offense	Week 3	526	134	256144	1585	124	144
BUMPER	tank	Week 3	355	129	184024	0	108	118
carpe	offense	Week 3	576	132	278613	244	121	215
Chara	support	Week 3	387	112	145888	145347	87	69
Choihyobin	tank	Week 3	391	59	136934	290	64	118
Closer	support	Week 3	353	91	104680	136029	77	46
ColourHex	offense	Week 3	287	87	162940	312	74	71
CoMa	support	Week 3	352	102	101061	144641	77	63
coolmatt	tank	Week 3	258	64	116645	21	58	65
Corey	offense	Week 3	229	112	190826	0	87	75
Custa	support	Week 3	128	40	43652	51842	31	17
Daco	tank	Week 3	414	50	128905	8	39	109
dafran	offense	Week 3	494	115	234899	764	108	184
Danteh	offense	Week 3	499	112	253664	12126	134	142
DDing	offense	Week 3	465	78	190529	26253	114	136
Decay	offense	Week 3	205	54	119200	14	48	71
diem	offense	Week 3	526	122	264606	761	127	202
Dogman	support	Week 3	296	81	108017	119208	68	92
EFFECT	offense	Week 3	120	56	83529	78	42	42
Eileen	offense	Week 3	245	52	92781	49575	69	73
Elk	support	Week 3	136	57	66759	82791	44	42
Elsa	tank	Week 3	411	91	171657	1399	78	140
Envy	tank	Week 3	604	128	233454	5200	108	198
eqo	offense	Week 3	518	139	157137	233705	121	104
Erster	offense	Week 3	459	76	127198	121373	93	117
Fahzix	support	Week 3	137	76	76273	121182	56	20
Fate	tank	Week 3	408	189	233449	0	136	112
Finnsi	tank	Week 3	325	57	104394	0	62	93
Fissure	tank	Week 3	418	149	211522	0	116	131
Fleta	offense	Week 3	506	116	273273	17911	110	180
Fury	tank	Week 3	520	71	188145	467	87	174
Fusions	tank	Week 3	365	174	208011	0	114	123
Gamsu	tank	Week 3	359	138	148944	0	88	125
Gator	tank	Week 3	16	7	7979	0	5	7
Geguri	tank	Week 3	155	50	56062	0	33	39
Gesture	tank	Week 3	429	130	198837	0	120	132
Gido	support	Week 3	173	107	150620	200360	94	43
